,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,race
295,Webber,84.83,10.65,0.58,0.61,1.33,1.99,pctwhite
296,Wegner-Lohin,,,,,,,
297,White,67.91,27.38,0.39,1.01,1.76,1.55,pctwhite
298,Williams,48.52,46.72,0.37,0.78,2.01,1.60,pctwhite
299,Wong,3.33,0.71,88.50,0.05,4.39,3.02,pctapi
300,Wong,3.33,0.71,88.50,0.05,4.39,3.02,pctapi
301,Wong,3.33,0.71,88.50,0.05,4.39,3.02,pctapi
302,Wong,3.33,0.71,88.50,0.05,4.39,3.02,pctapi
303,Wong,3.33,0.71,88.50,0.05,4.39,3.02,pctapi
304,Woodhouse,74.01,20.96,0.54,0.89,1.43,2.17,pctwhite
305,Wren,78.23,16.89,0.40,0.73,1.94,1.82,pctwhite
306,Yang,0.95,0.13,95.03,0.04,3.49,0.35,pctapi
307,Yee,5.14,0.48,86.48,0.10,5.49,2.31,pctapi
308,Yee,5.14,0.48,86.48,0.10,5.49,2.31,pctapi
309,You,3.39,0,92.14,0,2.93,0.80,pctapi
310,Younger,66.81,27.83,0.56,0.61,2.09,2.10,pctwhite
311,Zamora,5.99,0.22,2.37,0.37,0.53,90.52,pcthispanic
312,Zia,30.95,0,55.95,0,10.50,2.06,pctapi
313,Zimowski,,,,,,,
